date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,1145.0,1147.9,1141.5,1143.9,35049
2025-10-01 09:16:00+05:30,1143.3,1143.3,1140.0,1141.1,31210
2025-10-01 09:17:00+05:30,1142.1,1143.6,1141.9,1142.1,5096
2025-10-01 09:18:00+05:30,1142.3,1143.5,1141.9,1142.6,2947
2025-10-01 09:19:00+05:30,1142.6,1142.9,1142.1,1142.1,2115
2025-10-01 09:20:00+05:30,1142.4,1142.4,1140.7,1141.8,1825
2025-10-01 09:21:00+05:30,1141.4,1141.5,1140.7,1141.2,2884
2025-10-01 09:22:00+05:30,1141.0,1141.2,1139.9,1140.9,16996
2025-10-01 09:23:00+05:30,1140.9,1142.2,1140.8,1142.2,7703
2025-10-01 09:24:00+05:30,1142.2,1144.9,1142.2,1144.2,28226
2025-10-01 09:25:00+05:30,1143.9,1144.0,1142.2,1142.2,3106
2025-10-01 09:26:00+05:30,1142.2,1142.3,1141.5,1142.1,1553
2025-10-01 09:27:00+05:30,1142.0,1143.3,1142.0,1143.1,588
2025-10-01 09:28:00+05:30,1143.1,1144.0,1142.6,1143.9,8519
2025-10-01 09:29:00+05:30,1143.7,1145.9,1143.6,1145.1,8570
2025-10-01 09:30:00+05:30,1145.8,1146.8,1145.8,1146.3,5743
2025-10-01 09:31:00+05:30,1146.3,1146.8,1145.8,1146.1,786
2025-10-01 09:32:00+05:30,1146.3,1147.5,1146.3,1147.5,2476
2025-10-01 09:33:00+05:30,1148.1,1148.6,1148.0,1148.4,4267
2025-10-01 09:34:00+05:30,1148.4,1148.4,1147.4,1147.8,2314
2025-10-01 09:35:00+05:30,1147.7,1148.1,1147.3,1147.6,1979
2025-10-01 09:36:00+05:30,1147.5,1147.6,1147.1,1147.6,666
2025-10-01 09:37:00+05:30,1147.2,1147.6,1147.0,1147.3,5725
2025-10-01 09:38:00+05:30,1147.3,1147.3,1146.6,1147.1,529
2025-10-01 09:39:00+05:30,1147.1,1147.1,1146.1,1146.7,872
2025-10-01 09:40:00+05:30,1146.7,1147.4,1146.7,1147.4,258
2025-10-01 09:41:00+05:30,1146.7,1147.5,1146.7,1147.5,1912
2025-10-01 09:42:00+05:30,1147.0,1147.5,1146.3,1146.8,1218
2025-10-01 09:43:00+05:30,1146.7,1146.7,1145.6,1146.1,1096
2025-10-01 09:44:00+05:30,1146.1,1146.3,1146.0,1146.3,450
2025-10-01 09:45:00+05:30,1146.0,1146.3,1145.0,1145.0,4019
2025-10-01 09:46:00+05:30,1145.2,1145.9,1145.0,1145.4,2212
2025-10-01 09:47:00+05:30,1145.0,1145.9,1145.0,1145.8,1206
2025-10-01 09:48:00+05:30,1145.9,1146.8,1145.9,1146.8,1355
2025-10-01 09:49:00+05:30,1146.8,1147.0,1146.3,1146.8,2329
2025-10-01 09:50:00+05:30,1146.8,1146.8,1145.1,1145.1,851
2025-10-01 09:51:00+05:30,1145.2,1145.2,1144.2,1145.2,3089
2025-10-01 09:52:00+05:30,1145.2,1145.2,1144.1,1144.1,1748
2025-10-01 09:53:00+05:30,1144.2,1144.2,1143.2,1143.7,1330
2025-10-01 09:54:00+05:30,1143.7,1144.2,1143.6,1144.2,707
2025-10-01 09:55:00+05:30,1144.2,1145.0,1144.1,1144.8,549
2025-10-01 09:56:00+05:30,1144.8,1144.8,1144.2,1144.2,936
2025-10-01 09:57:00+05:30,1144.5,1144.5,1143.9,1144.4,1870
2025-10-01 09:58:00+05:30,1144.4,1144.8,1144.0,1144.5,1227
2025-10-01 09:59:00+05:30,1144.5,1144.8,1144.0,1144.3,468
2025-10-01 10:00:00+05:30,1144.3,1144.3,1143.8,1144.1,387
2025-10-01 10:01:00+05:30,1144.3,1144.7,1144.3,1144.7,439
