date,open,high,low,close,volume
2025-10-01 09:15:00+05:30,1157.9,1157.9,1149.0,1152.0,5057
2025-10-01 09:16:00+05:30,1151.2,1151.5,1150.0,1150.1,6763
2025-10-01 09:17:00+05:30,1150.2,1151.4,1150.0,1150.7,1107
2025-10-01 09:18:00+05:30,1150.7,1151.3,1150.4,1150.9,1016
2025-10-01 09:19:00+05:30,1150.1,1150.7,1149.3,1150.7,3163
2025-10-01 09:20:00+05:30,1150.1,1150.8,1149.4,1149.4,4421
2025-10-01 09:21:00+05:30,1150.0,1150.6,1149.5,1150.6,1226
2025-10-01 09:22:00+05:30,1151.0,1153.4,1151.0,1153.3,1294
2025-10-01 09:23:00+05:30,1153.4,1155.0,1153.4,1154.7,1629
2025-10-01 09:24:00+05:30,1154.6,1155.6,1154.4,1155.0,3031
2025-10-01 09:25:00+05:30,1155.0,1155.0,1153.4,1153.8,1500
2025-10-01 09:26:00+05:30,1153.8,1155.0,1153.3,1155.0,918
2025-10-01 09:27:00+05:30,1154.4,1155.0,1154.4,1154.6,604
2025-10-01 09:28:00+05:30,1154.6,1155.0,1154.3,1155.0,153
2025-10-01 09:29:00+05:30,1155.0,1155.2,1154.5,1155.1,819
2025-10-01 09:30:00+05:30,1155.7,1156.0,1155.5,1155.9,661
2025-10-01 09:31:00+05:30,1155.9,1155.9,1155.5,1155.7,422
2025-10-01 09:32:00+05:30,1155.7,1155.7,1155.2,1155.2,65
2025-10-01 09:33:00+05:30,1155.5,1155.5,1154.5,1155.2,187
2025-10-01 09:34:00+05:30,1155.2,1155.9,1154.8,1155.7,231
2025-10-01 09:35:00+05:30,1155.9,1155.9,1155.3,1155.3,404
2025-10-01 09:36:00+05:30,1155.3,1156.0,1155.1,1155.7,1455
2025-10-01 09:37:00+05:30,1155.7,1155.7,1155.0,1155.1,159
2025-10-01 09:38:00+05:30,1155.7,1155.7,1155.5,1155.7,76
2025-10-01 09:39:00+05:30,1155.6,1155.6,1155.2,1155.5,73
2025-10-01 09:40:00+05:30,1155.5,1155.5,1152.6,1153.7,3326
2025-10-01 09:41:00+05:30,1153.8,1154.0,1153.8,1154.0,618
2025-10-01 09:42:00+05:30,1154.0,1154.0,1153.8,1153.9,141
2025-10-01 09:43:00+05:30,1153.5,1153.9,1153.3,1153.9,297
2025-10-01 09:44:00+05:30,1153.9,1155.0,1153.8,1154.3,179
2025-10-01 09:45:00+05:30,1154.7,1154.7,1154.0,1154.1,150
2025-10-01 09:46:00+05:30,1154.3,1154.3,1153.0,1153.7,269
2025-10-01 09:47:00+05:30,1153.7,1153.7,1152.7,1153.1,447
2025-10-01 09:48:00+05:30,1153.1,1153.3,1152.6,1153.0,547
2025-10-01 09:49:00+05:30,1152.5,1152.7,1152.0,1152.5,811
2025-10-01 09:50:00+05:30,1152.7,1154.1,1152.7,1154.1,498
2025-10-01 09:51:00+05:30,1154.0,1154.0,1153.6,1153.6,122
2025-10-01 09:52:00+05:30,1154.0,1154.0,1153.3,1153.6,188
2025-10-01 09:53:00+05:30,1153.5,1153.5,1152.6,1153.2,255
2025-10-01 09:54:00+05:30,1153.3,1153.3,1152.8,1153.0,849
2025-10-01 09:55:00+05:30,1153.2,1153.2,1152.1,1152.5,1426
2025-10-01 09:56:00+05:30,1152.5,1152.5,1151.2,1151.7,576
2025-10-01 09:57:00+05:30,1151.7,1151.7,1151.3,1151.7,133
2025-10-01 09:58:00+05:30,1151.7,1152.1,1151.7,1152.1,1354
2025-10-01 09:59:00+05:30,1152.1,1152.3,1152.0,1152.1,330
